Ticker,0981.HK,GFS,INTC,SMSN.IL,TSM,UMC,2454.TW,ALAB,AMD,ARM,AVGO,MRVL,NVDA,QCOM,000660.KS,MU,6857.T,6920.T,8035.T,AMAT,ASML,CDNS,KLAC,LRCX,SNPS,TER,042700.KS,3711.TW,AMKR,ADI,IFX.DE,MCHP,NXPI,ON,STNE,TXN
0981.HK,1.0,0.12710476897529474,0.13126915437524012,0.2157630556902447,0.18670776573729567,0.12900016783943064,0.1718881697753134,0.09756748862571102,0.14252014473720173,0.15801192038648196,0.14302469344221383,0.13605650205285455,0.158235594390427,0.13062078094321927,0.21385309389716695,0.17840216737340303,0.19606104102536306,0.18200328763671228,0.20681798757663608,0.17194919973802833,0.1763688979355688,0.15149207808751,0.16820971143790883,0.17192657258296057,0.1372018829601688,0.16750284938486285,0.17878040575841186,0.17402706776030202,0.16082866583332048,0.13515597361819587,0.19051961808496312,0.13674344659103993,0.13859228660448558,0.13395195666854726,0.11512494425279564,0.12126363418797804
GFS,0.12710476897529477,1.0,0.41927022618862597,0.23518365445805975,0.48817045548419347,0.4532148070250771,-0.052153049029199545,0.38142157183976744,0.4864049160680292,0.47633369345792165,0.4663641594242581,0.46069828351776754,0.47338491904573915,0.5121034911883569,0.024968938753578914,0.48109536472320397,-0.023930796958525805,-0.03262540728411156,-0.007270085371988795,0.528696567084605,0.5156973175134232,0.47052193537017584,0.5318221730225992,0.5342780437755436,0.40759889613820355,0.49772673123818223,0.027213717395088485,-0.06810492495143514,0.5038806779674118,0.519468475136513,0.29700175564629044,0.5122199577362158,0.5258020443816035,0.5048496430827878,0.3133605814256449,0.48970423516658074
INTC,0.13126915437524014,0.41927022618862597,0.9999999999999999,0.24316495378086742,0.4341779651137056,0.39110891120421754,0.0054461255480326804,0.3261823253223221,0.42085129554488104,0.4171203398290401,0.4052343389108805,0.3988979059284582,0.41486285359494723,0.43783693694213294,0.07740709947365408,0.4263724540950445,0.034161721597493484,0.02352901992467871,0.0501644436549843,0.4620464558244473,0.4530223765612081,0.41079037173745725,0.46349302123854563,0.4664277293178509,0.3574679576438533,0.43650090457920265,0.06969550969609244,-0.006515139952304222,0.43953502222512675,0.4448516137681614,0.2849374112337673,0.43958274118555524,0.45075863348848555,0.43303499696136494,0.2774259301413544,0.4177015682134499
SMSN.IL,0.2157630556902447,0.23518365445805978,0.24316495378086742,1.0000000000000002,0.34620539930063454,0.23883042133088167,0.3203263101982177,0.18051279573719128,0.2639069116110055,0.2927941170207861,0.26491062978075786,0.251949713572182,0.29322014199915136,0.2416610922696189,0.3982443545336858,0.3307579173470323,0.3652607943361206,0.33910448214758937,0.38524358748807375,0.3185867039309372,0.3268603355039591,0.28066876390316137,0.31161153851015705,0.318526749986482,0.2542525276771747,0.31040371934521066,0.3329105985394963,0.3243611307404198,0.29795271107326077,0.2500848696272554,0.3539153279165147,0.2530648334530078,0.256465158131615,0.24788890403202135,0.21343257310939406,0.22430388401088483
TSM,0.18670776573729567,0.4881704554841933,0.4341779651137056,0.34620539930063454,0.9999999999999998,0.4600142804113636,0.08194064179219172,0.379200209239628,0.4966442097335329,0.4996820648634414,0.4807873888883893,0.4711682622216238,0.4974568464538905,0.5088501228660243,0.17467526652994256,0.5182640034864089,0.12224405697771808,0.10505267549187063,0.14349914923997817,0.5521320994806614,0.5448026616973989,0.4902686996501427,0.5519609916595918,0.5566334771867206,0.42901621766779646,0.5238531261732683,0.15115938361362305,0.07057389792679766,0.5240134810390515,0.5180871866507072,0.3780085741475429,0.5133667648258711,0.5256956941141502,0.505384854535441,0.3367924087573593,0.4839612454587222
UMC,0.1290001678394306,0.453214807025077,0.3911089112042175,0.23883042133088173,0.4600142804113636,1.0000000000000004,-0.022901824905934634,0.3528131281664925,0.45239803748988167,0.44555392366744384,0.4346307552734135,0.42863486135015105,0.44296010862040763,0.47364196513761364,0.05147770862285828,0.4525812244572154,0.005522896473434153,-0.004138434914889554,0.021822516904830606,0.4940635972020769,0.48309886367569804,0.43948952897012245,0.49633382572815704,0.4990280248304536,0.3815330121894601,0.46589212941664876,0.04867758687884796,-0.03680641624976343,0.4704561168164764,0.48081723127427745,0.29039530162929217,0.4745832072377071,0.4869242088774065,0.46764173701836576,0.294640616722489,0.4524265251113036
2454.TW,0.1718881697753134,-0.052153049029199545,0.005446125548032704,0.3203263101982178,0.08194064179219172,-0.022901824905934627,0.9999999999999999,-0.04382427877155392,-0.015487048271456822,0.0260027370603779,-0.000614584645098934,-0.01228318158063145,0.028524634499434275,-0.05967657350550522,0.4602513391445378,0.06825318755040652,0.4540755414581337,0.4286585713681946,0.4666601838304723,0.021198235865277394,0.039980522628254696,0.015435038457604525,0.010706801586336771,0.017319329872977376,0.026695069823020973,0.03251533221608575,0.3804199175080433,0.43518928672346613,0.013395694125555304,-0.05460452302035949,0.22157443260919013,-0.046089017425520844,-0.05127800984665915,-0.047264996486646636,0.042052479375319966,-0.06520035446948637
ALAB,0.09756748862571103,0.38142157183976744,0.3261823253223221,0.18051279573719134,0.379200209239628,0.35281312816649263,-0.043824278771553926,1.0,0.37858022035242717,0.3704230548992935,0.3628719126197458,0.35855369827983163,0.368109171454872,0.3989175532639973,0.015867079563307688,0.37380113606229975,-0.022132894715453256,-0.028701334729045853,-0.009266940084386777,0.4112025642647741,0.4009428423715609,0.36598281605606603,0.41371569149655485,0.41557539073327254,0.31693674390180704,0.38701809859911035,0.01823129512519798,-0.05635765023335396,0.391954258666649,0.40460883755462657,0.2293760102971288,0.3989030548545961,0.40951110605702445,0.3931774814231467,0.24349328189493558,0.3815319446099129
AMD,0.14252014473720176,0.48640491606802927,0.42085129554488104,0.26390691161100555,0.49664420973353285,0.4523980374898817,-0.015487048271456829,0.37858022035242717,1.0,0.4798684878572812,0.4675374016877135,0.4608328514572187,0.47713321744317905,0.5082151788669982,0.06541562449437816,0.48834960842303726,0.015845372033272374,0.004897879353671969,0.033654060028852455,0.5319476145484838,0.5205620574050809,0.4731142608864248,0.5341609600600066,0.5372034551829963,0.4110135687930414,0.5018892123710952,0.060662155713508116,-0.0301020129592056,0.5063818562053605,0.5160445481378415,0.3172235027754646,0.5095240806928929,0.5226866408260359,0.5020311955648353,0.317874690883345,0.4852723438085992
ARM,0.15801192038648196,0.47633369345792165,0.4171203398290402,0.29279411702078617,0.49968206486344136,0.44555392366744384,0.0260027370603779,0.3704230548992935,0.47986848785728115,1.0,0.46273583998545464,0.4549495123996309,0.47510558054306085,0.49718146234734717,0.11010310390093024,0.4901228820122453,0.06042698070373868,0.04708604115701197,0.07929510839797337,0.5286422332793145,0.5192228406221088,0.4698375957088592,0.529799362246849,0.5334625701271406,0.4094761338293981,0.5000037634351961,0.09753165616792075,0.013084564172967232,0.5025668986173425,0.5054312128645747,0.3358395519860294,0.4998159398576553,0.5123337298876283,0.49228316040448905,0.31879495965370513,0.4739269910075675
